feature,importance
NAME_CONTRACT_TYPE,71.00000000000001
FLAG_OWN_CAR,3.6
FLAG_OWN_REALTY,7.199999999999999
CNT_CHILDREN,11.4
AMT_INCOME_TOTAL,122.6
AMT_CREDIT,209.8
AMT_ANNUITY,235.39999999999998
AMT_GOODS_PRICE,246.8
REGION_POPULATION_RELATIVE,139.4
DAYS_BIRTH,368.6
DAYS_EMPLOYED,267.79999999999995
DAYS_REGISTRATION,210.4
DAYS_ID_PUBLISH,244.0
OWN_CAR_AGE,198.6
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_WORK_PHONE,37.199999999999996
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,13.8
FLAG_EMAIL,7.200000000000001
CNT_FAM_MEMBERS,23.0
REGION_RATING_CLIENT,13.399999999999999
REGION_RATING_CLIENT_W_CITY,46.8
HOUR_APPR_PROCESS_START,79.4
REG_REGION_NOT_LIVE_REGION,3.4
REG_REGION_NOT_WORK_REGION,3.6
LIVE_REGION_NOT_WORK_REGION,5.2
REG_CITY_NOT_LIVE_CITY,29.8
REG_CITY_NOT_WORK_CITY,4.4
LIVE_CITY_NOT_WORK_CITY,2.8000000000000003
EXT_SOURCE_1,556.8
EXT_SOURCE_2,474.4
EXT_SOURCE_3,580.4
APARTMENTS_AVG,45.0
BASEMENTAREA_AVG,50.2
YEARS_BEGINEXPLUATATION_AVG,49.199999999999996
YEARS_BUILD_AVG,35.4
COMMONAREA_AVG,45.8
ELEVATORS_AVG,24.0
ENTRANCES_AVG,27.400000000000002
FLOORSMAX_AVG,27.4
FLOORSMIN_AVG,25.400000000000002
LANDAREA_AVG,52.2
LIVINGAPARTMENTS_AVG,30.4
LIVINGAREA_AVG,45.8
NONLIVINGAPARTMENTS_AVG,28.799999999999997
NONLIVINGAREA_AVG,55.0
APARTMENTS_MODE,55.8
BASEMENTAREA_MODE,56.8
YEARS_BEGINEXPLUATATION_MODE,48.2
YEARS_BUILD_MODE,33.6
COMMONAREA_MODE,55.400000000000006
ELEVATORS_MODE,10.6
ENTRANCES_MODE,19.0
FLOORSMAX_MODE,10.600000000000001
FLOORSMIN_MODE,12.600000000000001
LANDAREA_MODE,51.0
LIVINGAPARTMENTS_MODE,35.599999999999994
LIVINGAREA_MODE,53.4
NONLIVINGAPARTMENTS_MODE,19.2
NONLIVINGAREA_MODE,51.0
APARTMENTS_MEDI,24.4
BASEMENTAREA_MEDI,28.200000000000003
