SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2426800,100047,-40,24.0,2.0,Active,0,0
1692033,100007,-3,24.0,15.0,Active,0,0
1223113,100046,-11,18.0,12.0,Active,0,0
1194857,100061,-14,30.0,21.0,Active,0,0
1212261,100053,-2,12.0,3.0,Active,0,0
2349489,100010,-35,10.0,10.0,Active,0,0
1191663,100060,-11,36.0,32.0,Active,0,0
1223113,100046,-10,18.0,11.0,Active,0,0
1194857,100061,-7,30.0,14.0,Active,0,0
2119973,100007,-73,10.0,6.0,Active,0,0
2462742,100007,-57,12.0,11.0,Active,0,0
1223113,100046,-4,18.0,5.0,Active,0,0
2480304,100012,-12,18.0,13.0,Active,0,0
2794143,100011,-18,30.0,8.0,Active,0,0
2339761,100063,-23,36.0,35.0,Active,0,0
2769249,100017,-73,10.0,3.0,Active,0,0
2164190,100012,-7,24.0,3.0,Active,0,0
2339761,100063,-9,36.0,20.0,Active,0,0
1212261,100053,-3,12.0,4.0,Active,0,0
2384838,100037,-16,12.0,10.0,Active,0,0
2339761,100063,-16,36.0,28.0,Active,0,0
1811514,100027,-10,12.0,7.0,Active,0,0
1185699,100043,-74,8.0,2.0,Active,0,0
2794143,100011,-36,30.0,27.0,Active,0,0
2803221,100045,-38,14.0,3.0,Active,0,0
2396755,100003,-66,12.0,1.0,Active,0,0
1390369,100034,-18,6.0,4.0,Active,0,0
1692033,100007,-9,24.0,21.0,Active,0,0
2007057,100009,-10,6.0,6.0,Active,0,0
1944776,100054,-40,12.0,11.0,Active,0,0
1885254,100059,-9,48.0,46.0,Active,0,0
1885254,100059,-10,48.0,47.0,Active,0,0
2480304,100012,-7,18.0,8.0,Active,0,0
2572058,100053,-16,24.0,19.0,Active,0,0
1131053,100023,-73,8.0,1.0,Active,0,0
2384838,100037,-11,12.0,5.0,Active,0,0
1251047,100016,-25,24.0,14.0,Active,0,0
2803221,100045,-41,14.0,6.0,Active,0,0
1288446,100045,-88,6.0,3.0,Active,0,0
1811514,100027,-9,12.0,6.0,Active,0,0
1950847,100061,-44,12.0,4.0,Active,0,0
1528842,100061,-2,24.0,0.0,Completed,0,0
1514918,100049,-39,10.0,0.0,Completed,0,0
2339761,100063,-17,36.0,29.0,Active,0,0
1112703,100009,-41,10.0,0.0,Completed,0,0
2824473,100016,-39,24.0,19.0,Active,0,0
1514328,100032,-44,6.0,1.0,Active,0,0
1528842,100061,-14,24.0,12.0,Active,0,0
2794143,100011,-11,30.0,1.0,Active,0,0
1670175,100035,-32,18.0,3.0,Active,0,0
2179840,100030,-10,6.0,4.0,Active,0,0
2613879,100008,-19,30.0,28.0,Active,0,0
1252218,100026,-42,6.0,1.0,Active,0,0
2824473,100016,-40,24.0,20.0,Active,0,0
2037234,100033,-27,12.0,11.0,Active,0,0
1528842,100061,-15,24.0,13.0,Active,0,0
1194857,100061,-2,30.0,9.0,Active,0,0
1112703,100009,-42,10.0,1.0,Active,0,0
1194857,100061,-15,30.0,22.0,Active,0,0
2339761,100063,-1,36.0,13.0,Active,0,0
1560053,100049,-73,12.0,5.0,Active,0,0
1430602,100011,-77,12.0,6.0,Active,0,0
2305060,100041,-40,12.0,3.0,Active,0,0
2349489,100010,-28,10.0,3.0,Active,0,0
2636178,100003,-23,6.0,1.0,Active,0,0
2447872,100027,-21,10.0,5.0,Active,0,0
1219930,100035,-64,6.0,2.0,Active,0,0
2480304,100012,-14,18.0,15.0,Active,0,0
2480304,100012,-8,18.0,9.0,Active,0,0
1366912,100048,-9,18.0,17.0,Active,0,0
1885254,100059,-4,48.0,41.0,Active,0,0
2425547,100021,-25,12.0,9.0,Active,0,0
1252218,100026,-43,6.0,2.0,Active,0,0
1271192,100025,-64,6.0,2.0,Active,0,0
1219930,100035,-67,6.0,5.0,Active,0,0
1885254,100059,-11,48.0,48.0,Active,0,0
2794143,100011,-34,30.0,25.0,Active,0,0
2305060,100041,-39,12.0,2.0,Active,0,0
2492683,100043,-36,60.0,56.0,Active,0,0
1176822,100018,-47,12.0,5.0,Active,0,0
1182112,100049,-10,12.0,8.0,Active,0,0
1193310,100009,-43,6.0,0.0,Completed,0,0
2704445,100018,-27,7.0,1.0,Active,0,0
1182112,100049,-4,12.0,2.0,Active,0,0
1038818,100002,-13,24.0,18.0,Active,0,0
2492683,100043,-21,60.0,40.0,Active,0,0
1515914,100016,-75,12.0,9.0,Active,0,0
2454202,100023,-5,4.0,0.0,Completed,0,0
1194857,100061,-9,30.0,16.0,Active,0,0
1212261,100053,-8,12.0,9.0,Active,0,0
2052027,100045,-21,36.0,23.0,Active,0,0
1359598,100009,-95,5.0,3.0,Active,0,0
1885254,100059,-2,9.0,0.0,Completed,0,0
1430602,100011,-76,12.0,5.0,Active,0,0
2824473,100016,-41,24.0,21.0,Active,0,0
1251047,100016,-32,24.0,21.0,Active,0,0
1213820,100021,-9,12.0,12.0,Active,0,0
1288446,100045,-89,6.0,4.0,Active,0,0
1461368,100040,-26,24.0,16.0,Active,0,0
2803221,100045,-35,14.0,0.0,Completed,0,0
2052027,100045,-34,36.0,36.0,Active,0,0
2305060,100041,-41,12.0,4.0,Active,0,0
1950847,100061,-46,12.0,7.0,Active,0,0
1514918,100049,-41,10.0,2.0,Active,0,0
1077565,100039,-14,8.0,0.0,Completed,0,0
1176822,100018,-49,12.0,7.0,Active,0,0
2480304,100012,-16,18.0,17.0,Active,0,0
2480304,100012,-10,18.0,11.0,Active,0,0
1219930,100035,-65,6.0,3.0,Active,0,0
1185699,100043,-78,8.0,7.0,Active,0,0
2613879,100008,-13,8.0,0.0,Completed,0,0
1223113,100046,-14,18.0,15.0,Active,0,0
1189316,100025,-39,18.0,1.0,Active,0,0
1528842,100061,-12,24.0,10.0,Active,0,0
1905091,100035,-21,3.0,0.0,Active,0,0
1189316,100025,-45,18.0,7.0,Active,0,0
1219930,100035,-66,6.0,4.0,Active,0,0
1239349,100025,-22,7.0,0.0,Completed,0,0
1692033,100007,-10,24.0,22.0,Active,0,0
1212261,100053,-9,12.0,10.0,Active,0,0
1772508,100026,-14,36.0,35.0,Active,0,0
2052027,100045,-24,36.0,26.0,Active,0,0
1035321,100047,-76,10.0,0.0,Completed,0,0
1176822,100018,-45,12.0,3.0,Active,0,0
2835799,100025,-31,18.0,14.0,Active,0,0
1232720,100049,-14,6.0,0.0,Completed,0,0
1027737,100015,-75,10.0,6.0,Active,0,0
2256622,100054,-13,12.0,9.0,Active,0,0
2063227,100044,-36,48.0,34.0,Active,0,0
1077565,100039,-20,42.0,39.0,Active,0,0
2164190,100012,-11,24.0,7.0,Active,0,0
2426800,100047,-41,24.0,3.0,Active,0,0
1496284,100039,-75,4.0,0.0,Active,0,0
2052027,100045,-19,36.0,21.0,Active,0,0
1182112,100049,-7,12.0,5.0,Active,0,0
1198431,100035,-49,12.0,3.0,Active,0,0
1251047,100016,-24,24.0,13.0,Active,0,0
2492683,100043,-33,60.0,53.0,Active,0,0
2063227,100044,-33,48.0,31.0,Active,0,0
2256622,100054,-16,12.0,12.0,Active,0,0
1874778,100056,-39,54.0,22.0,Active,0,0
1940724,100007,-35,12.0,11.0,Active,0,0
1182112,100049,-2,12.0,0.0,Completed,0,0
1212261,100053,-7,12.0,8.0,Active,0,0
2613879,100008,-17,30.0,26.0,Active,0,0
1366913,100048,-12,18.0,15.0,Active,0,0
1182112,100049,-9,12.0,7.0,Active,0,0
1294812,100020,-13,6.0,3.0,Active,0,0
1874778,100056,-38,54.0,21.0,Active,0,0
1874778,100056,-32,54.0,15.0,Active,0,0
1461368,100040,-25,24.0,15.0,Active,0,0
1874778,100056,-17,54.0,0.0,Completed,0,0
2492683,100043,-14,26.0,0.0,Completed,0,0
2492683,100043,-24,60.0,43.0,Active,0,0
1748547,100062,-8,48.0,46.0,Active,0,0
1232720,100049,-19,6.0,5.0,Active,0,0
1845095,100052,-10,5.0,0.0,Completed,0,0
1430602,100011,-75,12.0,4.0,Active,8,8
1496284,100039,-78,4.0,3.0,Active,0,0
2314167,100045,-58,16.0,12.0,Active,0,0
1786922,100041,-87,6.0,5.0,Active,0,0
2492683,100043,-18,60.0,37.0,Active,0,0
2832301,100055,-10,1.0,0.0,Completed,0,0
1284590,100063,-15,12.0,12.0,Active,0,0
2454202,100023,-9,24.0,24.0,Active,0,0
1560053,100049,-72,12.0,4.0,Active,0,0
1748547,100062,-3,48.0,41.0,Active,0,0
1748547,100062,-9,48.0,47.0,Active,0,0
1322806,100062,-14,12.0,11.0,Active,0,0
1874778,100056,-19,54.0,1.0,Active,0,0
2001242,100007,-20,17.0,9.0,Active,0,0
1182112,100049,-13,12.0,11.0,Active,0,0
2243464,100050,-16,24.0,24.0,Active,0,0
2440070,100061,-33,6.0,4.0,Active,0,0
1560053,100049,-74,12.0,6.0,Active,0,0
1874778,100056,-34,54.0,17.0,Active,0,0
2835799,100025,-32,18.0,15.0,Active,0,0
1811514,100027,-14,12.0,11.0,Active,0,0
1366912,100048,-8,18.0,16.0,Active,0,0
2164190,100012,-14,24.0,10.0,Active,0,0
1271192,100025,-63,6.0,1.0,Active,0,0
1670175,100035,-39,18.0,10.0,Active,0,0
2462742,100007,-50,12.0,4.0,Active,0,0
1670175,100035,-45,18.0,16.0,Active,0,0
1548007,100061,-37,12.0,9.0,Active,0,0
1077565,100039,-19,42.0,38.0,Active,0,0
1027737,100015,-72,10.0,3.0,Active,0,0
2314167,100045,-51,16.0,5.0,Active,0,0
2134202,100055,-20,12.0,7.0,Active,0,0
2492683,100043,-23,60.0,42.0,Active,0,0
1562063,100017,-17,24.0,21.0,Active,0,0
2339761,100063,-15,36.0,27.0,Active,0,0
2384838,100037,-10,12.0,4.0,Active,0,0
1212261,100053,-10,12.0,11.0,Active,0,0
2492683,100043,-40,60.0,60.0,Active,0,0
2492683,100043,-34,60.0,54.0,Active,0,0
2063227,100044,-41,48.0,39.0,Active,0,0
2063227,100044,-47,48.0,45.0,Active,0,0
2063227,100044,-34,48.0,32.0,Active,0,0
1038818,100002,-16,24.0,21.0,Active,0,0
1885254,100059,-3,48.0,40.0,Active,0,0
1950847,100061,-42,12.0,2.0,Active,2,2
1717648,100052,-6,4.0,0.0,Completed,0,0
2339761,100063,-4,36.0,15.0,Active,0,0
