SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,AMT_GOODS_PRICE,NAME_TYPE_SUITE,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_7,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,BUREAU_AMT_CREDIT_SUM,BUREAU_AMT_CREDIT_SUM_DEBT,BUREAU_AMT_CREDIT_MAX_OVERDUE,BUREAU_CREDIT_DAY_OVERDUE,BUREAU_CNT_CREDIT_PROLONG,BUREAU_CREDIT_ACTIVE_COUNT,bureau_inquiries_day_credit_report,bureau_inquiries_day_confidence_credit_report,bureau_inquiries_hour_credit_report,bureau_inquiries_hour_confidence_credit_report,bureau_inquiries_month_credit_report,bureau_inquiries_month_confidence_credit_report,bureau_inquiries_quarter_credit_report,bureau_inquiries_quarter_confidence_credit_report,bureau_inquiries_week_credit_report,bureau_inquiries_week_confidence_credit_report,bureau_inquiries_year_credit_report,bureau_inquiries_year_confidence_credit_report,car_age_property_doc,car_age_confidence_property_doc,career_progression_index_linkedin,career_progression_index_confidence_linkedin,cnt_children_id_document,cnt_children_conf_id_document,confidence_bank_statement,confidence_linkedin,confidence_career_progression_index_linkedin,confidence_connections_estimate_linkedin,confidence_job_hop_count_linkedin,confidence_seniority_score_linkedin,confidence_skill_count_linkedin,connections_estimate_linkedin,connections_estimate_confidence_linkedin,credit_debt_bank_statement,credit_debt_confidence_bank_statement,credit_sum_bank_statement,credit_sum_confidence_bank_statement,date_of_birth_id_document,date_of_birth_conf_id_document,ext_source_1_credit_report,ext_source_1_confidence_credit_report,ext_source_2_credit_report,ext_source_2_confidence_credit_report,ext_source_3_credit_report,ext_source_3_confidence_credit_report,family_status_id_document,family_status_conf_id_document,gender_id_document,gender_conf_id_document,gross_pay_paystub,housing_type_property_doc,housing_type_confidence_property_doc,job_hop_count_linkedin,job_hop_count_confidence_linkedin,living_area_property_doc,living_area_confidence_property_doc,missing_field_indicator_paystub,monthly_income_bank_statement,monthly_income_confidence_bank_statement,monthly_repayment_bank_statement,monthly_repayment_confidence_bank_statement,net_pay_paystub,net_to_gross_ratio_paystub,ocr_noise_score_paystub,overdue_flag_bank_statement,overdue_flag_confidence_bank_statement,own_car_property_doc,own_car_confidence_property_doc,own_realty_property_doc,own_realty_confidence_property_doc,parse_error_linkedin,region_rating_property_doc,region_rating_confidence_property_doc,seniority_score_linkedin,seniority_score_confidence_linkedin,skill_count_linkedin,skill_count_confidence_linkedin,tenure_years_paystub,total_area_property_doc,total_area_confidence_property_doc
100002,1,Cash loans,351000.0,Unaccompanied,0.018801,-3648.0,1,0,1,1,0,WEDNESDAY,10,0,0,0,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.125,0.0369,0.0202,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,reg oper account,block of flats,"Stone, brick",No,2.0,2.0,2.0,2.0,-1134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865055.565,245781.0,5043.645,0.0,0.0,2.0,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 1, 'confidence': 5}",,0,5.0,"{'value': 0.0, 'confidence': 4}",,"[None, 1]",,,,,,,,,"{'value': 389, 'confidence': 5}",,,0.0,,0.0,"['2000-04-09', 5]",,"{'value': 0.92, 'confidence': 5}",,"{'value': 0.74, 'confidence': 5}",,"{'value': 0.86, 'confidence': 5}",,"[None, 1]",,"['M', 5]",,8328.21,House / Apartment,5.0,"{'value': 2, 'confidence': 5}",,0,5.0,False,,0.0,,0.0,6340.26,0.7613,0.95,,0.0,N,5.0,Y,5.0,,2,5.0,"{'value': 1, 'confidence': 5}",,"{'value': 7, 'confidence': 5}",,0.041,0,5.0
100003,0,Cash loans,1129500.0,Family,0.0035409999999999,-1186.0,1,0,1,1,0,MONDAY,11,0,0,0,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.3333,0.013,0.0773,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,reg oper account,block of flats,Block,No,1.0,0.0,1.0,0.0,-828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017400.5,0.0,0.0,0.0,0.0,1.0,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 2, 'confidence': 5}",,"{'value': None, 'confidence': 1}",,0.5,,"[0, 5]",,,4,,,,,,493,,"{'value': 0.0, 'confidence': 5}",,,,"['1980-04-10', 5]",,"{'value': 0.69, 'confidence': 5}",,"{'value': 0.38, 'confidence': 5}",,"{'value': 0.5, 'confidence': 5}",,"['MARRIED', 5]",,"['F', 5]",,11747.53,"{'value': 'House / apartment', 'confidence': 5}",,2,,"{'value': 0.1, 'confidence': 5}",,False,"{'value': 22500.0, 'confidence': 5}",,"{'value': 35698.5, 'confidence': 5}",,7107.23,0.605,0.95,"{'value': False, 'confidence': 5}",,"{'value': 'N', 'confidence': 5}",,"{'value': 'N', 'confidence': 5}",,,"{'value': 1, 'confidence': 5}",,4,,14,,1.12,"{'value': 0.1, 'confidence': 5}",
100004,0,Revolving loans,135000.0,Unaccompanied,0.010032,-4260.0,1,1,1,1,0,MONDAY,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189037.8,0.0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0,,"{'value': 26, 'confidence': 5}",,0.0,,"{'value': None, 'confidence': 0}",,"{'monthly_income': 5, 'monthly_repayment': 5, 'overdue_flag': 1, 'credit_sum': 1, 'credit_debt': 1}","{'job_hop_count': 5, 'seniority_score': 4, 'skill_count': 5, 'career_progression_index': 3, 'connections_estimate': 5}",,,,,,323,,,,,,"{'value': '1974-01-11', 'confidence': 5}",,0.5,,0.44545454545454544,,0.2709090909090909,,"{'value': None, 'confidence': 0}",,"{'value': 'M', 'confidence': 5}",,2850.89,"{'value': 'House / apartment', 'confidence': 5}",,4,,"{'value': 50, 'confidence': 5}",,False,5625.0,,670.0,,2410.06,0.84537,0.98,,,"{'value': 'Y', 'confidence': 5}",,"{'value': 'Y', 'confidence': 5}",,,"{'value': 2, 'confidence': 5}",,1,,5,,0.0,"{'value': 70, 'confidence': 5}",
100006,0,Cash loans,297000.0,Unaccompanied,0.008019,-9833.0,1,0,1,0,0,WEDNESDAY,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-617.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,0,,"[0, 5]",,"[0, 5]",,,,,,,,,"[487, 5]",,,,,,"['1974-02-21', 5]",,"{'value': 0.5, 'confidence': 5}",,"{'value': 0.35, 'confidence': 5}",,"{'value': 0.5, 'confidence': 5}",,"['CIVIL MARRIAGE', 5]",,"['F', 5]",,"{'value': 5399.77, 'confidence': 5}",House / Apartment,,"[1, 5]",,50.0,,"{'value': False, 'confidence': 5}","{'value': 11250.0, 'confidence': 4}",,"{'value': 298.5, 'confidence': 4}",,"{'value': 4173.19, 'confidence': 5}","{'value': 0.7728, 'confidence': 5}","{'value': 0.8, 'confidence': 5}","{'value': False, 'confidence': 5}",,N,,Y,,,2,,"[3, 4]",,"[10, 5]",,"{'value': 6.2, 'confidence': 5}",70.0,
100007,0,Cash loans,513000.0,Unaccompanied,0.028663,-4311.0,1,0,1,0,0,THURSDAY,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146250.0,0.0,0.0,0.0,0.0,0.0,"{'value': None, 'confidence': 1}",,"{'value': None, 'confidence': 1}",,"{'value': 0, 'confidence': 5}",,"{'value': None, 'confidence': 1}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,,,0.25,,0,5.0,,,,,,,,212,,,,,,1971-08-09,5.0,"{'value': 0.5, 'confidence': 5}",,"{'value': 0.678, 'confidence': 5}",,"{'value': 0.5, 'confidence': 5}",,SINGLE,5.0,M,5.0,"{'value': 5120.27, 'confidence': 5}",House,,4,,50.0,,"{'value': False, 'confidence': 5}",,,,,"{'value': 3665.6, 'confidence': 5}","{'value': 0.7159, 'confidence': 5}","{'value': 0.8, 'confidence': 5}",,,N,,Y,,,2,,4,,6,,"{'value': 6.18, 'confidence': 5}",70.0,
100008,0,Cash loans,454500.0,"Spouse, partner",0.035792,-4970.0,1,1,1,1,0,WEDNESDAY,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2536.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468445.5,240057.0,0.0,0.0,0.0,1.0,0,5.0,0,5.0,0,5.0,1,5.0,0,5.0,1,5.0,0,,0.0,,"{'value': None, 'confidence': 1}",,,,5.0,5.0,5.0,5.0,5.0,333,,240057.0,,,,"{'value': '1979-10-17', 'confidence': 5}",,0.5,5.0,0.64727,5.0,0.38,5.0,"{'value': None, 'confidence': 1}",,"{'value': 'M', 'confidence': 5}",,4286.15,House/Apt,,3,,50.0,,False,8250.0,,27517.5,,3464.63,0.808,0.9,False,,N,,Y,,,2,,1,,10,,2.21,70.0,
100009,0,Cash loans,1395000.0,Unaccompanied,0.035792,-1213.0,1,0,1,1,0,SUNDAY,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1562.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4800811.5,1077349.5,0.0,0.0,0.0,4.0,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 1, 'confidence': 5}",,"{'value': 1, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 2, 'confidence': 5}",,"{'value': 17, 'confidence': 5}",,"{'value': 1.0, 'confidence': 4}",,"{'value': None, 'confidence': 1}",,"{'monthly_income': 5, 'monthly_repayment': 5, 'overdue_flag': 5, 'credit_sum': 5, 'credit_debt': 5}",,,,,,,"{'value': 491, 'confidence': 5}",,1077349.5,,0.0,,"{'value': '1988-06-14', 'confidence': 5}",,"{'value': 0.77, 'confidence': 5}",,"{'value': 0.72, 'confidence': 5}",,"{'value': 0.49, 'confidence': 5}",,"{'value': None, 'confidence': 1}",,"{'value': 'F', 'confidence': 5}",,7129.17,"{'value': 'House / Apartment', 'confidence': 5}",,"{'value': 2, 'confidence': 5}",,"{'value': 50.0, 'confidence': 5}",,False,14250.0,,41301.0,,5362.6,0.752205374113222,0.95,False,,"{'value': 'Y', 'confidence': 5}",,"{'value': 'Y', 'confidence': 5}",,,"{'value': 2, 'confidence': 5}",,"{'value': 3, 'confidence': 4}",,"{'value': 10, 'confidence': 5}",,6.43,"{'value': 70.0, 'confidence': 5}",
100010,0,Cash loans,1530000.0,Unaccompanied,0.0031219999999999,-4597.0,1,1,1,0,0,MONDAY,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1070.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990000.0,348007.5,,0.0,0.0,1.0,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 8, 'confidence': 5}",,,1.0,0,,,,,,,,,420,5.0,,1.0,,1.0,1974-07-26,,"{'value': 0.5, 'confidence': 5}",,"{'value': 0.287, 'confidence': 5}",,"{'value': 0.46, 'confidence': 5}",,MARRIED,,M,,"{'value': 14670.9, 'confidence': 5}","{'value': 'House / apartment', 'confidence': 5}",,1,5.0,"{'value': 50.0, 'confidence': 5}",,"{'value': False, 'confidence': 5}",30000,3.0,42576,3.0,"{'value': 10371.4, 'confidence': 5}","{'value': 0.7069368614059124, 'confidence': 5}","{'value': 0.95, 'confidence': 5}",,1.0,"{'value': 'Y', 'confidence': 5}",,"{'value': 'Y', 'confidence': 5}",,,"{'value': 3, 'confidence': 5}",,5,5.0,12,5.0,"{'value': -0.91, 'confidence': 5}","{'value': 70.0, 'confidence': 5}",
100011,0,Cash loans,913500.0,Children,0.018634,-7427.0,1,0,1,0,0,WEDNESDAY,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435228.3,0.0,10147.23,0.0,0.0,0.0,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 1, 'confidence': 5}",,0,,,,"{'value': 0, 'confidence': 5}",,,,,,,,,,,,,,,"{'value': '1971-02-23', 'confidence': 5}",,"{'value': 0.41, 'confidence': 5}",,"{'value': 0.8, 'confidence': 5}",,"{'value': 0.25, 'confidence': 5}",,"{'value': 'Married', 'confidence': 5}",,"{'value': 'F', 'confidence': 5}",,"{'value': 4876.38, 'confidence': 5}",House / apartment,,,,50.0,,"{'value': True, 'confidence': 5}",9375,,338.28,,"{'value': 3678.97, 'confidence': 5}","{'value': 0.75, 'confidence': 5}","{'value': 0.98, 'confidence': 5}",,,N,,Y,,True,2,,,,,,"{'value': -1.13, 'confidence': 5}",70.0,
100012,0,Revolving loans,405000.0,Unaccompanied,0.0196889999999999,-14437.0,1,0,1,0,0,THURSDAY,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,"{'value': 0, 'confidence': 5}",,,,0.0,5.0,"{'value': 0, 'confidence': 5}",,,,,,,,,496,5.0,0,,0.0,,"{'value': '1986-07-24', 'confidence': 5}",,"{'value': 0.5, 'confidence': 5}",,"{'value': 0.254545, 'confidence': 5}",,"{'value': 0.5, 'confidence': 5}",,"{'value': 'SINGLE / NOT MARRIED', 'confidence': 5}",,"{'value': 'M', 'confidence': 5}",,"{'value': 5425.91, 'confidence': 5}",House / apartment,,1,5.0,50,,"{'value': False, 'confidence': 5}",11250,,20250,,"{'value': 4318.24, 'confidence': 5}","{'value': 0.795855, 'confidence': 5}","{'value': 0.99, 'confidence': 5}",False,,,,Y,,,2,,2,4.0,13,5.0,"{'value': 3.39178, 'confidence': 5}",70,
