SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100053,5723577,Closed,currency 1,-1764,0,-648.0,-648.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-644,
100053,5723578,Active,currency 1,-2338,0,-1958.0,,,0,48820.5,,,0.0,Consumer credit,-1945,
100053,5723579,Closed,currency 1,-2688,0,-2534.0,-2551.0,,0,26919.0,0.0,,0.0,Consumer credit,-1723,
100053,5723580,Closed,currency 1,-2893,0,,-1588.0,,0,0.0,0.0,,0.0,Credit card,-1588,
100053,5723581,Closed,currency 1,-2639,0,-2496.0,-2496.0,,0,77850.0,0.0,,0.0,Credit card,-729,
100053,5723582,Closed,currency 1,-1925,0,-832.0,-707.0,,0,225000.0,,,0.0,Consumer credit,-704,
100053,5723583,Closed,currency 1,-1767,0,-648.0,-630.0,,0,135000.0,,,0.0,Consumer credit,-630,
100016,5217355,Active,currency 1,-141,0,223.0,,,0,88996.5,63724.5,0.0,0.0,Consumer credit,-8,
100016,5217356,Closed,currency 1,-1634,0,-1331.0,-1073.0,,0,58495.5,0.0,,0.0,Consumer credit,-1073,
100016,5217357,Active,currency 1,-128,0,236.0,,,0,91264.5,,,0.0,Consumer credit,-3,
100016,5217358,Active,currency 1,-142,0,223.0,,,0,88996.5,,,0.0,Consumer credit,-3,
100016,5217359,Closed,currency 1,-1494,0,-1369.0,-1369.0,0.0,0,22086.0,0.0,0.0,0.0,Consumer credit,-1367,
100016,5217360,Closed,currency 1,-528,0,-347.0,-347.0,0.0,0,57645.0,0.0,0.0,0.0,Consumer credit,-341,
100054,5727772,Closed,currency 1,-1483,0,-1115.0,-1114.0,,0,48600.0,0.0,0.0,0.0,Consumer credit,-1114,
100054,5727773,Active,currency 1,-1138,0,-772.0,,0.0,0,56092.5,0.0,0.0,0.0,Consumer credit,-42,
100030,6584419,Closed,currency 1,-1547,0,238.0,-418.0,0.0,0,0.0,0.0,0.0,0.0,Credit card,-363,
100030,6584420,Closed,currency 1,-1265,0,-1173.0,-1173.0,0.0,0,21975.57,0.0,0.0,0.0,Consumer credit,-1173,
100030,6584421,Active,currency 1,-1053,0,,,0.0,0,45000.0,19341.0,25656.03,0.0,Credit card,-9,
100030,6584423,Closed,currency 1,-462,0,-127.0,-127.0,0.0,0,49455.0,0.0,0.0,0.0,Consumer credit,-125,
100030,6584424,Active,currency 1,-418,0,1409.0,,0.0,0,508500.0,432301.5,0.0,0.0,Consumer credit,-19,
100050,6363403,Closed,currency 1,-2702,0,-2305.0,-2334.0,,0,157282.38,0.0,,0.0,Consumer credit,-872,
100050,6363404,Closed,currency 1,-2679,0,-2295.0,-2357.0,,0,135459.0,0.0,0.0,0.0,Consumer credit,-2315,0.0
100050,6363405,Closed,currency 1,-694,0,189.0,-145.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-135,0.0
100049,5244757,Active,currency 1,-1052,0,-505.0,,,0,84816.0,10890.0,0.0,0.0,Consumer credit,-516,
100049,5244759,Active,currency 1,-568,0,518.0,,,0,414000.0,383112.0,0.0,0.0,Credit card,-8,
100049,5244760,Closed,currency 1,-2179,0,-1469.0,-1469.0,,0,141480.0,,,0.0,Credit card,-1469,
100049,5244761,Active,currency 1,-27,0,340.0,,,0,21375.0,21865.5,,0.0,Consumer credit,-18,
100049,5244762,Closed,currency 1,-799,0,-554.0,-554.0,0.0,0,32576.85,0.0,0.0,0.0,Consumer credit,-550,
100049,5244763,Active,currency 1,-700,0,,,0.0,0,45000.0,36180.0,8819.235,0.0,Credit card,-32,
100058,6552703,Closed,currency 1,-650,0,-378.0,-172.0,,0,90000.0,0.0,0.0,0.0,Credit card,-169,
100058,6552704,Closed,currency 1,-2536,0,-709.0,-758.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-562,
100058,6552705,Active,currency 1,-790,0,284.0,,,0,135000.0,127777.5,0.0,0.0,Credit card,-18,
100058,6552706,Active,currency 1,-223,0,31087.0,,,0,135000.0,130819.5,,0.0,Credit card,-18,
100017,5704884,Closed,currency 1,-2881,0,-2546.0,-2575.0,0.0,0,107230.5,0.0,0.0,0.0,Consumer credit,-2575,
100017,5704885,Closed,currency 1,-2562,0,-2227.0,-2256.0,0.0,0,63990.0,0.0,0.0,0.0,Consumer credit,-2256,
