SK_ID_CURR,TARGET
100001,0.1
100005,0.17
100013,0.12
100028,0.12
100038,0.14
100042,0.17
100057,0.1
100065,0.22
100066,0.17
100067,0.2
100074,0.22
100090,0.21
100091,0.14
100092,0.2
100106,0.14
100107,0.25
100109,0.15
100117,0.15
100128,0.19
100141,0.1
100150,0.14
100168,0.13
100169,0.14
100170,0.08
100171,0.07
100172,0.17
100184,0.17
100187,0.18
100212,0.17
100222,0.19
100223,0.11
100232,0.14
100241,0.19
100245,0.11
100253,0.11
100256,0.24
100271,0.13
100278,0.37
100280,0.15
100306,0.21
100311,0.22
100312,0.14
100330,0.26
100331,0.16
100352,0.15
100358,0.19
100367,0.12
100382,0.21
100384,0.21
100385,0.15
100386,0.23
100399,0.07
100404,0.19
100416,0.14
100422,0.14
100426,0.11
100438,0.12
100444,0.22
100445,0.17
100446,0.14
100447,0.18
100450,0.17
100466,0.11
100483,0.07
100484,0.14
100494,0.13
100510,0.18
100512,0.19
100517,0.1
100548,0.15
100551,0.08
100552,0.19
100553,0.09
100561,0.18
100568,0.4
100569,0.08
100591,0.17
100592,0.07
100602,0.14
100607,0.1
100613,0.13
100617,0.17
100618,0.2
100622,0.22
100625,0.16
100677,0.25
100699,0.09
100702,0.37
100711,0.25
100729,0.23
100740,0.21
100744,0.23
100745,0.15
100747,0.23
100751,0.25
100752,0.18
100753,0.29
100754,0.2
100760,0.11
100762,0.13
100763,0.16
100765,0.08
100770,0.24
100772,0.14
100777,0.06
100791,0.09
100792,0.11
100797,0.19
100823,0.11
100826,0.15
100830,0.14
100836,0.4
100872,0.16
100910,0.13
100913,0.3
100918,0.13
100931,0.05
100952,0.12
100953,0.21
100965,0.25
100970,0.1
100982,0.22
100983,0.28
100984,0.16
100987,0.15
100997,0.14
100998,0.12
101002,0.22
101005,0.21
101008,0.23
101020,0.14
101021,0.13
101024,0.2
101025,0.23
101026,0.12
101031,0.11
101041,0.16
101051,0.04
101055,0.14
101056,0.37
101057,0.16
101064,0.1
101079,0.18
101087,0.15
101090,0.14
101092,0.23
101097,0.18
101099,0.1
101107,0.15
101118,0.17
101125,0.17
101126,0.09
101128,0.13
101136,0.18
101140,0.29
101149,0.24
101160,0.16
101169,0.25
101181,0.12
101186,0.11
101190,0.27
101193,0.22
101194,0.21
101198,0.18
101200,0.08
101204,0.16
