SK_ID_CURR,TARGET
100001,0.42
100005,0.39
100013,0.44
100028,0.28
100038,0.39
100042,0.45
100057,0.33
100065,0.37
100066,0.27
100067,0.49
100074,0.4
100090,0.38
100091,0.5
100092,0.6
100106,0.4
100107,0.49
100109,0.43
100117,0.34
100128,0.31
100141,0.39
100150,0.34
100168,0.36
100169,0.44
100170,0.2
100171,0.41
100172,0.46
100184,0.42
100187,0.46
100212,0.36
100222,0.46
100223,0.33
100232,0.32
100241,0.39
100245,0.33
100253,0.43
100256,0.35
100271,0.36
100278,0.44
100280,0.29
100306,0.37
100311,0.5
100312,0.34
100330,0.37
100331,0.37
100352,0.41
100358,0.41
100367,0.44
100382,0.39
100384,0.35
100385,0.55
100386,0.37
100399,0.38
100404,0.39
100416,0.42
100422,0.41
100426,0.42
100438,0.32
100444,0.47
100445,0.42
100446,0.47
100447,0.43
100450,0.33
100466,0.44
100483,0.36
100484,0.35
100494,0.37
100510,0.47
100512,0.37
100517,0.35
100548,0.39
100551,0.38
100552,0.57
100553,0.36
100561,0.49
100568,0.44
100569,0.42
100591,0.43
100592,0.39
100602,0.37
100607,0.41
100613,0.54
100617,0.42
100618,0.42
100622,0.47
100625,0.46
100677,0.51
100699,0.33
100702,0.48
100711,0.43
100729,0.42
100740,0.42
100744,0.45
100745,0.32
100747,0.41
100751,0.5
100752,0.52
100753,0.57
100754,0.4
100760,0.42
100762,0.52
100763,0.39
100765,0.29
100770,0.44
100772,0.35
100777,0.34
100791,0.36
100792,0.3
100797,0.35
100823,0.27
100826,0.34
100830,0.33
100836,0.48
100872,0.42
100910,0.38
100913,0.56
100918,0.47
100931,0.38
100952,0.43
100953,0.43
100965,0.48
100970,0.41
100982,0.42
100983,0.51
100984,0.37
100987,0.46
100997,0.38
100998,0.46
101002,0.45
101005,0.41
101008,0.52
101020,0.41
101021,0.41
101024,0.41
101025,0.47
101026,0.49
101031,0.37
101041,0.35
101051,0.33
101055,0.39
101056,0.4
101057,0.38
101064,0.48
101079,0.44
101087,0.48
101090,0.41
101092,0.48
101097,0.44
101099,0.34
101107,0.46
101118,0.42
101125,0.53
101126,0.44
101128,0.34
101136,0.4
101140,0.46
101149,0.45
101160,0.43
101169,0.43
101181,0.32
101186,0.47
101190,0.42
101193,0.37
101194,0.52
101198,0.43
101200,0.47
101204,0.34
101211,0.52
101213,0.48
101223,0.31
101225,0.38
101237,0.45
101243,0.52
101244,0.41
101258,0.4
101259,0.46
101268,0.42
101269,0.26
101271,0.44
101279,0.36
101281,0.43
101287,0.29
101292,0.36
101294,0.42
101296,0.5
101297,0.45
101299,0.42
101301,0.4
101305,0.5
101308,0.45
101318,0.32
101327,0.4
101329,0.36
101332,0.47
101337,0.44
101343,0.37
101345,0.26
101346,0.41
101353,0.41
101354,0.4
101355,0.38
101356,0.39
101362,0.4
101363,0.37
101365,0.37
101366,0.39
101367,0.39
101368,0.3
101374,0.43
101380,0.41
101383,0.4
101398,0.35
101399,0.45
101401,0.48
101412,0.34
101426,0.4
101427,0.46
101428,0.46
101429,0.39
101434,0.33
101440,0.4
101448,0.42
101449,0.48
101465,0.39
101467,0.43
101472,0.42
101478,0.36
101497,0.47
101504,0.51
101547,0.43
101548,0.46
101555,0.38
101570,0.36
101572,0.37
101578,0.39
101580,0.4
101588,0.52
101602,0.39
101610,0.39
101614,0.4
101616,0.47
101643,0.48
101644,0.43
101649,0.4
101650,0.36
101665,0.3
101667,0.47
101669,0.41
101674,0.51
101675,0.38
101678,0.5
101682,0.39
101686,0.38
101697,0.53
101700,0.47
101711,0.34
101714,0.37
101715,0.55
101728,0.46
101732,0.46
101757,0.5
101758,0.35
101759,0.46
101762,0.38
101764,0.3
101780,0.47
101784,0.3
101789,0.37
101816,0.5
101819,0.35
101827,0.28
101863,0.36
101867,0.42
101870,0.35
101873,0.42
101878,0.42
101879,0.5
101880,0.37
101887,0.37
101897,0.36
101901,0.45
101903,0.46
101920,0.33
101921,0.44
101922,0.46
101961,0.39
101962,0.37
101971,0.41
101976,0.49
102002,0.51
102005,0.42
102007,0.45
102017,0.29
102019,0.52
102029,0.36
102051,0.43
102052,0.38
102054,0.34
102062,0.38
102067,0.47
102068,0.39
102070,0.33
102090,0.33
102092,0.41
102099,0.5
102100,0.41
102112,0.43
102113,0.4
102122,0.48
102123,0.37
102125,0.36
102126,0.49
102146,0.44
102147,0.42
102151,0.39
102158,0.45
102159,0.34
102162,0.42
102165,0.41
102166,0.4
102174,0.43
102193,0.38
102198,0.32
102205,0.56
102206,0.37
102218,0.4
102221,0.4
102230,0.53
102238,0.41
102248,0.45
102252,0.36
102259,0.41
102262,0.45
102273,0.45
102286,0.48
102293,0.46
102294,0.27
102296,0.34
102298,0.4
102303,0.41
102309,0.47
102315,0.35
102340,0.32
102342,0.38
102344,0.53
102346,0.39
102347,0.44
102374,0.41
102380,0.4
102387,0.37
102393,0.37
102403,0.33
102413,0.3
102414,0.33
102415,0.37
102416,0.36
102439,0.47
102441,0.42
102443,0.28
102444,0.53
102445,0.48
102448,0.4
102449,0.47
102450,0.47
102456,0.3
102458,0.43
102459,0.32
102465,0.37
102470,0.4
102471,0.4
102475,0.44
102476,0.4
102506,0.51
102509,0.46
102519,0.32
102522,0.35
102545,0.36
102549,0.36
102562,0.34
102563,0.39
102568,0.45
102582,0.48
102592,0.4
102597,0.43
102605,0.33
102614,0.32
102617,0.46
102634,0.33
102652,0.38
102655,0.37
102671,0.36
102694,0.48
102701,0.31
102703,0.37
102704,0.28
102713,0.35
102720,0.41
102731,0.39
102733,0.35
102749,0.47
102755,0.33
102763,0.34
102770,0.41
102772,0.39
102799,0.5
102838,0.36
102854,0.41
102862,0.49
102863,0.45
102867,0.37
102868,0.33
102878,0.42
102887,0.43
102898,0.47
102904,0.37
102912,0.37
102919,0.35
102927,0.32
102932,0.5
102933,0.35
102935,0.37
102958,0.39
102969,0.39
102971,0.4
102975,0.35
102979,0.46
102982,0.36
102987,0.52
102989,0.44
102995,0.43
102996,0.42
103000,0.42
103001,0.47
103004,0.41
103010,0.35
103025,0.48
103029,0.36
103046,0.38
103056,0.3
103062,0.47
103078,0.29
103083,0.37
103092,0.37
103096,0.35
103097,0.38
103102,0.51
103112,0.36
103132,0.43
103144,0.29
103145,0.42
103146,0.34
103147,0.41
103158,0.37
103171,0.4
103173,0.31
103184,0.42
103195,0.5
103196,0.37
103206,0.39
103230,0.42
103231,0.53
103232,0.36
103239,0.42
103240,0.45
103243,0.34
103252,0.46
103258,0.34
103259,0.43
103279,0.38
103280,0.31
103286,0.42
103287,0.46
103290,0.39
103298,0.43
103315,0.31
103319,0.45
103334,0.39
103336,0.41
103345,0.39
103368,0.38
103371,0.54
103377,0.32
103398,0.39
103404,0.41
103408,0.53
103410,0.39
103418,0.4
103420,0.43
103432,0.41
103433,0.36
103436,0.37
103440,0.33
103453,0.44
103459,0.47
103460,0.39
103461,0.33
103462,0.39
103473,0.38
103474,0.25
103475,0.51
103478,0.41
103480,0.49
103484,0.3
103494,0.39
103513,0.44
103515,0.41
103516,0.43
103525,0.39
103541,0.44
103544,0.33
103562,0.47
103570,0.49
